state,year,charging_stations,fast_charger_pct,urban_coverage_pct,normalized_charging_stations,ev_readiness_score,charging_growth_pct,ev_transition_category,ev_sales,ice_sales,policy_score,ev_2w,ev_3w,ev_4w,ev_penetration_pct,data_type
Assam,2016,649,0.0043,0.0063,0.35896017699115046,0.18203008849557525,0.0,Emerging (Low),9735.0,590265.0,1.0,7301,1460,974,1.6225,Historical
Assam,2017,283,0.0048,0.0076,0.15652654867256638,0.08122327433628318,-0.5639445300462249,Emerging (Low),4372.0,613628.0,1.0,3279,655,438,0.7074433656957929,Historical
Assam,2018,450,0.0056,0.0066,0.2488938053097345,0.12744690265486724,0.5901060070671378,Emerging (Low),7161.0,629379.0,1.0,5370,1074,717,1.1249882175511359,Historical
Assam,2019,1063,0.0064,0.0053,0.5879424778761062,0.2969512389380531,1.362222222222222,Emerging (Low),17423.0,638213.0,1.0,13067,2613,1743,2.657419665790164,Historical
Assam,2020,405,0.0038,0.0051,0.22400442477876106,0.11416221238938054,-0.6190028222013171,Emerging (Low),27349.0,647956.0,1.0,20511,4102,2736,4.049873760745145,Historical
Assam,2021,181,0.0037,0.0079,0.10011061946902655,0.052745309734513274,-0.5530864197530865,Emerging (Low),12589.0,682975.0,1.0,9441,1888,1260,1.8098981545910946,Historical
Assam,2022,334,0.0056,0.0081,0.1847345132743363,0.09566725663716814,0.8453038674033149,Emerging (Low),23928.0,692503.0,1.0,17946,3589,2393,3.3398889774451415,Historical
Assam,2023,641,0.0063,0.0042,0.3545353982300885,0.17999769911504426,0.9191616766467066,Emerging (Low),47300.0,690624.0,1.0,35475,7095,4730,6.4098741875857135,Historical
Assam,2024,390,0.0036,0.0072,0.2157079646017699,0.11037398230088495,-0.391575663026521,Emerging (Low),29642.0,730420.0,1.0,22231,4446,2965,3.8999450044864763,Historical
Assam,2025,357,0.0048,0.0064,0.19745575221238937,0.10144787610619468,-0.08461538461538465,Emerging (Low),27948.0,754915.0,1.0,20961,4192,2795,3.5699732903458203,Historical
Assam,2025,259,0.0048,0.0064,0.14325221238938052,0.07434610619469026,-0.27450980392156865,Emerging (Low),49665.0,753608.0,1.0,37248,7449,4968,6.182829498812981,Forecast
Assam,2026,325,0.0048,0.0064,0.17975663716814158,0.09259831858407079,0.25482625482625476,Emerging (Low),26206.0,780143.0,1.0,19654,3930,2622,3.2499575245954295,Historical
